"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"5","760","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/8x8-justcall.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"7","759","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/8x8-justcall.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io","0","1",
"28","696","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/activecampaign-call-sms-integration.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"50","353","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/addons.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io","0","1",
"54","354","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/addons.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"80","354","<script src=""https://justcall.io/newsite/assets/js/bootstrap.min.js""></script>","https://justcall.io/advanced-filters.php","<script src=""https://justcall.io/newsite/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"99","697","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/agile-crm-call-sms-integration.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"124","529","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/aircall-call-sms-integration.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"147","776","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/aircall-justcall.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io","0","1",
"148","777","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/aircall-justcall.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"173","288","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io/all-business-phone-system.php","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io","0","1",
"174","289","<script src=""https://cdn.justcall.io/js/plugins/bootstrap.min.js""></script>","https://justcall.io/all-business-phone-system.php","<script src=""https://cdn.justcall.io/js/plugins/bootstrap.min.js""></script>","https://justcall.io","0","1",
"191","694","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/amo-crm-call-sms-integration.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"215","353","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/android-app.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"242","169","<script src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/app_login.php","<script src=""https://justcall.io/assets/js/bootstrap.min.js""></script>","https://justcall.io/","0","1",
"249","353","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/appointment-scheduler.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"273","1378","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/autodialer.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"296","1377","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/autodialer_new.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io","0","1",
"297","1378","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/autodialer_new.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io","0","1",
"320","648","<script src=""//cdn.justcall.io/partnerlandling/assets/js/jquery-3.1.1.min.js""></script>","https://justcall.io/autodialer_old.php","<script src=""//cdn.justcall.io/partnerlandling/assets/js/jquery-3.1.1.min.js""></script>","https://justcall.io","0","1",
