"id","name","version","url","synk_check"
"1","main",,"https://cdn.justcall.io/main/assets/js/main.js","2"
"2","lazysizes","5.2.0-beta1","https://cdn.justcall.io/main/assets/js/lazysizes.min.js","1"
"3","circles","0.0.6","https://cdn.justcall.io/js/plugins/circles.min.js","2"
"4","newsletter-form",,"https://cdn.justcall.io/js/plugins/newsletter-form.js","2"
"5","styleswitcher",,"https://cdn.justcall.io/js/plugins/styleswitcher.js","2"
"6","owl",,"https://cdn.justcall.io/js/plugins/owl.carousel.min.js","2"
"7","embedvid",,"https://cdn.justcall.io/js/plugins/embedvid.js","2"
"8","scrollreveal",,"https://cdn.justcall.io/js/plugins/scrollreveal.min.js","2"
"9","contact-form",,"https://cdn.justcall.io/js/plugins/contact-form.js","2"
"10","prefixfree","1.0.3","https://cdn.justcall.io/js/plugins/prefixfree.min.js","2"
"11","fontawesome",,"https://cdn.justcall.io/main/assets/js/fontawesome.min.js","2"
"12","baguetteBox","1.5.0","https://cdn.justcall.io/partnerlandling/assets/js/baguetteBox.js","2"
"13","list","1.3.0","https://cdnjs.cloudflare.com/ajax/libs/list.js/1.3.0/list.min.js","2"
"14","plugins","8.1","https://cdn.justcall.io/partnerlandling/assets/js/plugins.js","2"
"15","owl","1.3.3","https://cdn.justcall.io/partnerlandling/assets/owl-carousel/owl.carousel.js","2"
"16","md5","3.1.2","https://cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/md5.js","2"
"17","wow","1.1.2","https://cdn.justcall.io/partnerlandling/assets/js/wow.min.js","2"
"18","custom",,"https://cdn.justcall.io/partnerlandling/assets/js/custom.js","2"
"19","intlTelInput","9.2.2","https://cdn.justcall.io/js/intlTelInput.js","2"
"20","modernizr","2.6.2","https://cdn.justcall.io/main/assets/js/modernizr.custom.js","2"
"21","retina","1.3.0","https://cdn.justcall.io/main/assets/js/retina.js","2"
"22","imagesloaded","4.1.4","https://cdn.justcall.io/main/assets/js/imagesloaded.pkgd.min.js","0"
"23","modernizr","2.6.2","https://justcall.io/assets/js/modernizr.custom.js","2"
"24","retina","1.3.0","https://justcall.io/assets/js/retina.js","2"
"25","comment-form",,"https://justcall.io/assets/js/comment-form.js","2"
"26","quick-form",,"https://justcall.io/assets/js/quick-form.js","2"
"27","select2","4.0.3","https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.3/js/select2.min.js","1"
"28","isotope","3.0.6","https://cdn.justcall.io/main/assets/js/isotope.pkgd.min.js","2"
"29","imagesloaded","4.1.4","https://justcall.io/assets/js/imagesloaded.pkgd.min.js","0"
"30","twilio",,"https://media.twiliocdn.com/sdk/js/client/v1.3/twilio.min.js","2"
"31","mixitup",,"https://cdn.justcall.io/partnerlandling/assets/js/mixitup.min.js","2"
"32","slick","1.6.0","https://cdn.justcall.io/main/assets/js/slick.min.js","2"
"33","respond","1.4.2","https://oss.maxcdn.com/respond/1.4.2/respond.min.js","2"
"34","comment-form",,"https://cdn.justcall.io/main/assets/js/comment-form.js","2"
"35","modernizr","3.3.1","https://cdn.justcall.io/js/plugins/modernizr.js","1"
"36","js?id=UA-90034160-1","2.0","https://www.googletagmanager.com/gtag/js?id=UA-90034160-1","0"
"37","owl","2.2.1","https://cdn.justcall.io/main/assets/js/owl.carousel.min.js","2"
"38","js?id=AW-857695325","2.0","https://www.googletagmanager.com/gtag/js?id=AW-857695325","0"
"39","contact-form",,"https://cdn.justcall.io/main/assets/js/contact-form.js","2"
"40","quick-form",,"https://cdn.justcall.io/main/assets/js/quick-form.js","2"
"41","html5shiv","3.7.2","https://cdn.justcall.io/main/assets/js/html5shiv.js","2"
"42","wow",,"https://cdn.justcall.io/main/assets/js/wow.js","2"
"43","countUp",,"https://cdn.justcall.io/app/assets/lib/countup/countUp.min.js","2"
"44","partnerjs",,"https://cdn.justcall.io/small-business-assets/partnerjs.js","2"
"45","respond","1.4.2","https://cdn.justcall.io/main/assets/js/respond.min.js","2"
"46","cookieconsent",,"https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js","2"
"47","isotope","3.0.6","https://justcall.io/assets/js/isotope.pkgd.min.js","2"
"48","ua-parser","0.7.10","https://cdn.justcall.io/js/plugins/ua-parser.min.js","2"
"49","main",,"https://justcall.io/newsite/assets/js/main.js","2"
"50","js?id=UA-90034160-1","2.0","https://www.googletagmanager.com/gtag/js?id=UA-90034160-1","0"
"51","v2-legacy",,"https://js.hsforms.net/forms/v2-legacy.js","2"
"52","jspdf",,"https://cdnjs.cloudflare.com/ajax/libs/jspdf/1.3.2/jspdf.min.js","2"
"53","respond","1.4.2","https://justcall.io/assets/js/respond.min.js","2"
"54","twilio","1.10.2","https://media.twiliocdn.com/sdk/js/client/releases/1.10.2/twilio.min.js","2"
"55","jcsa",,"https://cdn.justcall.io/main/assets/js/jcsa.js","2"
"56","html5shiv",,"https://oss.maxcdn.com/html5shiv/3.7.2/html5shiv.min.js","2"
"57","main","1.2.0","https://cdn.justcall.io/app/assets/js/main.js","2"
"58","v2","5.450","https://js.hsforms.net/forms/v2.js","2"
"59","app-ui-notifications",,"https://cdn.justcall.io/app/assets/js/app-ui-notifications.js","2"
"60","incomingcall",,"https://cdn.justcall.io/app/assets/js/incomingcall.js?v=<? echo time(); ?>","2"
"61","app-dashboard","2.5","https://cdn.justcall.io/app/assets/js/app-dashboard.js","2"
"62","toastr",,"https://justcall.io/assets/js/toastr/toastr.min.js","2"
"63","dtmftone",,"https://justcall.io/assets/js/dtmftone.js","2"
"64","apnibar",,"https://cdn.justcall.io/js/apnibar.js?v=4 async=async","2"
"65","tapfiliate",,"https://static.tapfiliate.com/tapfiliate.js","2"
"66","countrySelect",,"https://justcall.io/./assets/js/countrySelect.min.js","2"
"67","select2_4","4.0.13","https://cdn.justcall.io/app/assets/js/select2_4.0.13.min.js","2"
"68","c2js",,"https://cdn.justcall.io/js/c2js.js","2"
"69","awv1ixw",,"https://use.typekit.net/awv1ixw.js","2"
"70","intlTelInput","17.0.3","https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/js/intlTelInput.min.js","2"
"71","dialer_lib","3.4.1","https://cdn.justcall.io/dialer/dialer_lib.min.js","2"
"72","main",,"https://justcall.io/assets/js/main.js","2"
"73","lazysizes","5.2.0-beta1","https://justcall.io/assets/js/lazysizes.min.js","1"
